native_task_id,source_package,scene_entrypoint,scene_entrypoint_sha256,unit,canonical_layout_id,source_role,independent_new_layout,source_license_scope
coffee-push-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_coffee.xml,f40f49c4325ac7f0baed8db50fbf36088c0b7af58b60525c79c62528beec6bf1,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
dial-turn-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_dial.xml,2726a9dfadb075ea555c6520a1d07368e5e14e827f2ac9673cb4379c465f872e,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
disassemble-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_assembly_peg.xml,7c6595b9a3a67d59b31ca8090c1f05f6197853806a43d637ce9395c912448ff3,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
door-close-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_door_pull.xml,f14cdb95f214dc13959351585b8a41b77f8876b112405d05f3e927ecac74513a,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
door-lock-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_door_lock.xml,95d7a072c629731e18c93f892fdcbcfd6bd8d371648355d23364f45ef612692c,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
door-open-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_door_pull.xml,f14cdb95f214dc13959351585b8a41b77f8876b112405d05f3e927ecac74513a,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
door-unlock-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_door_lock.xml,95d7a072c629731e18c93f892fdcbcfd6bd8d371648355d23364f45ef612692c,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
drawer-close-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_drawer.xml,2a2f29aa47ab399e16fe69c5428d2e14777842baf3e27b68a5b28884d1e14d59,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
drawer-open-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_drawer.xml,2a2f29aa47ab399e16fe69c5428d2e14777842baf3e27b68a5b28884d1e14d59,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
faucet-close-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_faucet.xml,2f682da06ee714d5ec4d3f4f8b948f9f3af2e9030c0cf0f282929c25e582213c,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
faucet-open-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_faucet.xml,2f682da06ee714d5ec4d3f4f8b948f9f3af2e9030c0cf0f282929c25e582213c,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
hammer-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_hammer.xml,6859b228be52aaa5d124dcc57271324ad62495f11d947c18cb1378290d03f754,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
hand-insert-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_table_with_hole.xml,560cecbda997ef71d15beafd592a8dd3149c1e513175cc27e5a2cfc4660b3cbf,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
handle-press-side-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_handle_press_sideways.xml,8e659d77a85de0e4fb649a447a31971f0fd16d4058cbdf772898f6ac83d1a15e,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
handle-press-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_handle_press.xml,e670579e26ad77ee9b6e1e6da3243c0ebfdeee48e521f0650f7191aaa2b68c19,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
handle-pull-side-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_handle_press_sideways.xml,8e659d77a85de0e4fb649a447a31971f0fd16d4058cbdf772898f6ac83d1a15e,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
handle-pull-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_handle_press.xml,e670579e26ad77ee9b6e1e6da3243c0ebfdeee48e521f0650f7191aaa2b68c19,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
lever-pull-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_lever_pull.xml,5e6674cbb5fd0206bc446e832753e7074fcc09e4418e2616a8d40de720d0c8fa,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
peg-insert-side-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_peg_insertion_side.xml,a001c569cf11268ddad29a026ed3b1d00c81262139c5f0b9835f2c92a6d1434b,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
peg-unplug-side-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_peg_unplug_side.xml,8414ab81404f3e62293d311941bd284b9379e23c2365c17e24717dcc5355bad2,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
pick-out-of-hole-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_pick_out_of_hole.xml,deae0a2eb0a569061f41ea799cdb967789c34a28c91a2153d274711ef1df523d,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
pick-place-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_pick_place_v3.xml,aa58548b2b1dab4a29ad466abb2b840159244816b5df1030657feb06202f19ed,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
pick-place-wall-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_pick_place_wall_v3.xml,2297248460e449b79cc6ec78771ac1a65b35eee080eb74425443b196ea378688,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
plate-slide-back-side-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_plate_slide_sideway.xml,c39523bbcb2471fe86a83a65e8a4ecaefe426bb11e14564e567153ad0c59e1ed,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
plate-slide-back-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_plate_slide.xml,b10eee9d67eebbda7c60b0bad94aa0d1155e552d377fae2830c290e953b20a29,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
plate-slide-side-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_plate_slide_sideway.xml,c39523bbcb2471fe86a83a65e8a4ecaefe426bb11e14564e567153ad0c59e1ed,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
plate-slide-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_plate_slide.xml,b10eee9d67eebbda7c60b0bad94aa0d1155e552d377fae2830c290e953b20a29,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
push-back-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_push_back_v3.xml,8823cd8e9aaad5d1eaf7b8c6f24d38e4d384b6793248e44d969b256e84889125,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
push-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_push_v3.xml,8c4bf7169be4f3c666811930aa13682e755b43a8e6e8186265a0a8e9815ae502,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
push-wall-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_push_wall_v3.xml,4bfbfb10d880c039d9ca65c7bdf5108090df199f3d3707a103e7ac1f15f81ff8,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
reach-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_reach_v3.xml,bc0427293317164af71c82e9fd41a5fa568c3185a97d92da8e57e4e39254361c,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
reach-wall-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_reach_wall_v3.xml,1281cf59d414a24522f7333f995dc4e712c3059538d9ab6434938da294710ecb,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
shelf-place-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_shelf_placing.xml,c85635572aa247d7974cb5600b8eb3af0fca1b54a2245d3adbac0be3546e6a6a,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
soccer-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_soccer.xml,8de4c5dbe46a1aa6679974483ba22f4a5e135f2e5ae610a36a35a098d3b8620f,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
stick-pull-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_stick_obj.xml,54dc71d0ce1b18807f6d6e2b2114051f17631e0348e6f92daaf8d881ae1a0d6e,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
stick-push-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_stick_obj.xml,54dc71d0ce1b18807f6d6e2b2114051f17631e0348e6f92daaf8d881ae1a0d6e,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
sweep-into-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_table_with_hole.xml,560cecbda997ef71d15beafd592a8dd3149c1e513175cc27e5a2cfc4660b3cbf,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
sweep-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_sweep_v3.xml,17176a34c0f7d42ac18637586c2bc2fbb46fb413141dc6755490749592734ee6,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
window-close-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_window_horizontal.xml,b5f6e85b3a73d2418c75fd16a4cf8d760f9fb05f2b6d66117fb1d3e967f24035,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
window-open-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_window_horizontal.xml,b5f6e85b3a73d2418c75fd16a4cf8d760f9fb05f2b6d66117fb1d3e967f24035,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
