id,short_name,year,title,authors,primary_category_code,source_url,scope_note,evidence_depth,reviewed_on,snapshot_membership
P011,EPIC-KITCHENS VISOR,2022,EPIC-KITCHENS VISOR Benchmark: VIdeo Segmentations and Object Relations,Ahmad Darkhalil and Dandan Shan and Bin Zhu and Jian Ma and Amlan Kar and Richard Higgins and Sanja Fidler and David Fouhey and Dima Damen,V,https://arxiv.org/abs/2209.13064,Pixel-level entities and interaction relations; adds grounding to EPIC video.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P012,HD-EPIC,2025,HD-EPIC: A Highly-Detailed Egocentric Video Dataset,Toby Perrett and Ahmad Darkhalil and Saptarshi Sinha and Omar Emara and Sam Pollard and Kranti Parida and Kaiting Liu and Prajwal Gatti and Siddhant Bansal and Kevin Flanagan and Jacob Chalk and Zhifan Zhu and Rhodri Guerrier and Fahd Abdelazim and Bin Zhu and Davide Moltisanti and Michael Wray and Hazel Doughty and Dima Damen,V,https://arxiv.org/abs/2502.04144,Detailed multimodal kitchen activity; useful for fine interaction/state annotations.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P013,Ego4D,2021,"Ego4D: Around the World in 3,000 Hours of Egocentric Video",Kristen Grauman and Andrew Westbury and Eugene Byrne and Zachary Chavis and Antonino Furnari and Rohit Girdhar and Jackson Hamburger and Hao Jiang and Miao Liu and Xingyu Liu and Miguel Martin and Tushar Nagarajan and Ilija Radosavovic and Santhosh Kumar Ramakrishnan and Fiona Ryan and Jayant Sharma and Michael Wray and Mengmeng Xu and Eric Zhongcong Xu and Chen Zhao and Siddhant Bansal and Dhruv Batra and Vincent Cartillier and Sean Crane and Tien Do and Morrie Doulaty and Akshay Erapalli and Christoph Feichtenhofer and Adriano Fragomeni and Qichen Fu and Abrham Gebreselasie and Cristina Gonzalez and James Hillis and Xuhua Huang and Yifei Huang and Wenqi Jia and Weslie Khoo and Jachym Kolar and Satwik Kottur and Anurag Kumar and Federico Landini and Chao Li and Yanghao Li and Zhenqiang Li and Karttikeya Mangalam and Raghava Modhugu and Jonathan Munro and Tullie Murrell and Takumi Nishiyasu and Will Price and Paola Ruiz Puentes and Merey Ramazanova and Leda Sari and Kiran Somasundaram and Audrey Southerland and Yusuke Sugano and Ruijie Tao and Minh Vo and Yuchen Wang and Xindi Wu and Takuma Yagi and Ziwei Zhao and Yunyi Zhu and Pablo Arbelaez and David Crandall and Dima Damen and Giovanni Maria Farinella and Christian Fuegen and Bernard Ghanem and Vamsi Krishna Ithapu and C. V. Jawahar and Hanbyul Joo and Kris Kitani and Haizhou Li and Richard Newcombe and Aude Oliva and Hyun Soo Park and James M. Rehg and Yoichi Sato and Jianbo Shi and Mike Zheng Shou and Antonio Torralba and Lorenzo Torresani and Mingfei Yan and Jitendra Malik,V,https://arxiv.org/abs/2110.07058,Broad first-person video with multiple benchmarks including forecasting and memory.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P014,Ego-Exo4D,2023,Ego-Exo4D: Understanding Skilled Human Activity from First- and Third-Person Perspectives,Kristen Grauman and Andrew Westbury and Lorenzo Torresani and Kris Kitani and Jitendra Malik and Triantafyllos Afouras and Kumar Ashutosh and Vijay Baiyya and Siddhant Bansal and Bikram Boote and Eugene Byrne and Zach Chavis and Joya Chen and Feng Cheng and Fu-Jen Chu and Sean Crane and Avijit Dasgupta and Jing Dong and Maria Escobar and Cristhian Forigua and Abrham Gebreselasie and Sanjay Haresh and Jing Huang and Md Mohaiminul Islam and Suyog Jain and Rawal Khirodkar and Devansh Kukreja and Kevin J Liang and Jia-Wei Liu and Sagnik Majumder and Yongsen Mao and Miguel Martin and Effrosyni Mavroudi and Tushar Nagarajan and Francesco Ragusa and Santhosh Kumar Ramakrishnan and Luigi Seminara and Arjun Somayazulu and Yale Song and Shan Su and Zihui Xue and Edward Zhang and Jinxu Zhang and Angela Castillo and Changan Chen and Xinzhu Fu and Ryosuke Furuta and Cristina Gonzalez and Prince Gupta and Jiabo Hu and Yifei Huang and Yiming Huang and Weslie Khoo and Anush Kumar and Robert Kuo and Sach Lakhavani and Miao Liu and Mi Luo and Zhengyi Luo and Brighid Meredith and Austin Miller and Oluwatumininu Oguntola and Xiaqing Pan and Penny Peng and Shraman Pramanick and Merey Ramazanova and Fiona Ryan and Wei Shan and Kiran Somasundaram and Chenan Song and Audrey Southerland and Masatoshi Tateno and Huiyu Wang and Yuchen Wang and Takuma Yagi and Mingfei Yan and Xitong Yang and Zecheng Yu and Shengxin Cindy Zha and Chen Zhao and Ziwei Zhao and Zhifan Zhu and Jeff Zhuo and Pablo Arbelaez and Gedas Bertasius and David Crandall and Dima Damen and Jakob Engel and Giovanni Maria Farinella and Antonino Furnari and Bernard Ghanem and Judy Hoffman and C. V. Jawahar and Richard Newcombe and Hyun Soo Park and James M. Rehg and Yoichi Sato and Manolis Savva and Jianbo Shi and Mike Zheng Shou and Michael Wray,V,https://arxiv.org/abs/2311.18259,Synchronized views of skilled activity; strong resource for viewpoint and embodiment studies.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P015,Assembly101,2022,Assembly101: A Large-Scale Multi-View Video Dataset for Understanding Procedural Activities,Fadime Sener and Dibyadip Chatterjee and Daniel Shelepov and Kun He and Dipika Singhania and Robert Wang and Angela Yao,V,https://arxiv.org/abs/2203.14712,Multi-view assembly and disassembly; expands beyond kitchen procedures.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P016,IKEA ASM,2020,"The IKEA ASM Dataset: Understanding People Assembling Furniture through Actions, Objects and Pose",Yizhak Ben-Shabat and Xin Yu and Fatemeh Sadat Saleh and Dylan Campbell and Cristian Rodriguez-Opazo and Hongdong Li and Stephen Gould,V,https://arxiv.org/abs/2007.00394,Furniture assembly with multimodal views; procedural understanding rather than autonomous control.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P017,HOI4D,2022,HOI4D: A 4D Egocentric Dataset for Category-Level Human-Object Interaction,Yunze Liu and Yun Liu and Che Jiang and Kangbo Lyu and Weikang Wan and Hao Shen and Boqiang Liang and Zhoujie Fu and He Wang and Li Yi,V,https://arxiv.org/abs/2203.01577,3D hands and object interactions support geometry-aware grounding.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P018,HOT3D,2024,HOT3D: Hand and Object Tracking in 3D from Egocentric Multi-View Videos,Prithviraj Banerjee and Sindi Shkodrani and Pierre Moulon and Shreyas Hampali and Shangchen Han and Fan Zhang and Linguang Zhang and Jade Fountain and Edward Miller and Selen Basol and Richard Newcombe and Robert Wang and Jakob Julian Engel and Tomas Hodan,V,https://arxiv.org/abs/2411.19167,Multi-view hand/object tracking; perception output still requires retargeting for robots.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P019,EgoBody,2021,EgoBody: Human Body Shape and Motion of Interacting People from Head-Mounted Devices,Siwei Zhang and Qianli Ma and Yan Zhang and Zhiyin Qian and Taein Kwon and Marc Pollefeys and Federica Bogo and Siyu Tang,V,https://arxiv.org/abs/2112.07642,Interacting human body motion from wearable views; adjacent to embodied assistance.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P020,EgoHumans,2023,EgoHumans: An Egocentric 3D Multi-Human Benchmark,Rawal Khirodkar and Aayush Bansal and Lingni Ma and Richard Newcombe and Minh Vo and Kris Kitani,V,https://arxiv.org/abs/2305.16487,Multi-person 3D understanding; relevant to shared spaces and human-aware behavior.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P021,Ego-ExoLearn,2024,EgoExoLearn: A Dataset for Bridging Asynchronous Ego- and Exo-centric View of Procedural Activities in Real World,Yifei Huang and Guo Chen and Jilan Xu and Mingfang Zhang and Lijin Yang and Baoqi Pei and Hongjie Zhang and Lu Dong and Yali Wang and Limin Wang and Yu Qiao,V,https://arxiv.org/abs/2403.16182,Procedural transfer between egocentric and exocentric observations.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P022,CaptainCook4D,2023,CaptainCook4D: A Dataset for Understanding Errors in Procedural Activities,Rohith Peddi and Shivvrat Arya and Bharath Challa and Likhitha Pallapothula and Akshay Vyas and Bhavya Gouripeddi and Jikai Wang and Qifan Zhang and Vasundhara Komaragiri and Eric Ragan and Nicholas Ruozzi and Yu Xiang and Vibhav Gogate,V,https://arxiv.org/abs/2312.14556,Procedural activity including errors; suitable for contrasting correct and incorrect execution.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P023,EgoProceL,2022,My View is the Best View: Procedure Learning from Egocentric Videos,Siddhant Bansal and Chetan Arora and C. V. Jawahar,V,https://arxiv.org/abs/2207.10883,Procedure learning from first-person observations.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P024,EPIC Fields,2023,EPIC Fields: Marrying 3D Geometry and Video Understanding,Vadim Tschernezki and Ahmad Darkhalil and Zhifan Zhu and David Fouhey and Iro Laina and Diane Larlus and Dima Damen and Andrea Vedaldi,V,https://arxiv.org/abs/2306.08731,Camera geometry augments EPIC video; source videos overlap the EPIC family.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P025,EgoPet,2024,EgoPet: Egomotion and Interaction Data from an Animal's Perspective,Amir Bar and Arya Bakhtiar and Danny Tran and Antonio Loquercio and Jathushan Rajasegaran and Yann LeCun and Amir Globerson and Trevor Darrell,V,https://arxiv.org/abs/2404.09991,"Animal-view egomotion and interaction data; useful as a visual domain-shift probe, not a human robot embodiment target.",primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P026,EgoHOS,2022,"Fine-Grained Egocentric Hand-Object Segmentation: Dataset, Model, and Applications",Lingzhi Zhang and Shenghao Zhou and Simon Stent and Jianbo Shi,V,https://arxiv.org/abs/2208.03826,Fine hand-object segmentation for grounded interaction understanding.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P027,EgoPCA,2023,EgoPCA: A New Framework for Egocentric Hand-Object Interaction Understanding,Yue Xu and Yong-Lu Li and Zhemin Huang and Michael Xu Liu and Cewu Lu and Yu-Wing Tai and Chi-Keung Tang,V,https://arxiv.org/abs/2309.02423,Egocentric hand-object interaction framework; adjacent to perception benchmarks.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P028,EgoSchema,2023,EgoSchema: A Diagnostic Benchmark for Very Long-form Video Language Understanding,Karttikeya Mangalam and Raiymbek Akshulakov and Jitendra Malik,Q,https://arxiv.org/abs/2308.09126,Long-video question answering; answer accuracy does not establish action competence.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P029,EgoThink,2023,EgoThink: Evaluating First-Person Perspective Thinking Capability of Vision-Language Models,Sijie Cheng and Zhicheng Guo and Jingwen Wu and Kechen Fang and Peng Li and Huaping Liu and Yang Liu,Q,https://arxiv.org/abs/2311.15596,First-person reasoning across several abilities; designed for model understanding.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P030,EgoPlan-Bench,2023,EgoPlan-Bench: Benchmarking Multimodal Large Language Models for Human-Level Planning,Yi Chen and Yuying Ge and Yixiao Ge and Mingyu Ding and Bohao Li and Rui Wang and Ruifeng Xu and Ying Shan and Xihui Liu,Q,https://arxiv.org/abs/2312.06722,Egocentric next-step planning; paper also introduces EgoPlan-IT.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P031,EgoPlan-Bench2,2024,EgoPlan-Bench2: A Benchmark for Multimodal Large Language Model Planning in Real-World Scenarios,Lu Qiu and Yi Chen and Yuying Ge and Yixiao Ge and Ying Shan and Xihui Liu,Q,https://arxiv.org/abs/2412.04447,Planning across daily life and broader scenarios; offline choice quality differs from physical completion.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P032,EgoTaskQA,2022,EgoTaskQA: Understanding Human Tasks in Egocentric Videos,Baoxiong Jia and Ting Lei and Song-Chun Zhu and Siyuan Huang,Q,https://arxiv.org/abs/2210.03929,Task and interaction question answering; supports explicit reasoning diagnostics.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P033,EgoLife,2025,EgoLife: Towards Egocentric Life Assistant,Jingkang Yang and Shuai Liu and Hongming Guo and Yuhao Dong and Xiamengwei Zhang and Sicheng Zhang and Pengyun Wang and Zitang Zhou and Binzhu Xie and Ziyue Wang and Bei Ouyang and Zhengyu Lin and Marco Cominelli and Zhongang Cai and Yuanhan Zhang and Peiyuan Zhang and Fangzhou Hong and Joerg Widmer and Francesco Gringoli and Lei Yang and Bo Li and Ziwei Liu,Q,https://arxiv.org/abs/2503.03803,Long-duration life understanding and assistance-oriented QA.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P034,EgoVLP,2022,Egocentric Video-Language Pretraining,Kevin Qinghong Lin and Alex Jinpeng Wang and Mattia Soldan and Michael Wray and Rui Yan and Eric Zhongcong Xu and Difei Gao and Rongcheng Tu and Wenzhe Zhao and Weijie Kong and Chengfei Cai and Hongfa Wang and Dima Damen and Bernard Ghanem and Wei Liu and Mike Zheng Shou,Q,https://arxiv.org/abs/2206.01670,Representation pretraining evaluated on egocentric tasks; not an independent execution benchmark.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P035,EgoVLPv2,2023,EgoVLPv2: Egocentric Video-Language Pre-training with Fusion in the Backbone,Shraman Pramanick and Yale Song and Sayan Nag and Kevin Qinghong Lin and Hardik Shah and Mike Zheng Shou and Rama Chellappa and Pengchuan Zhang,Q,https://arxiv.org/abs/2307.05463,Video-language representation method; keep separate from the benchmark data it uses.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P036,EgoT2,2022,Egocentric Video Task Translation,Zihui Xue and Yale Song and Kristen Grauman and Lorenzo Torresani,Q,https://arxiv.org/abs/2212.06301,Transfers information across egocentric tasks; multi-task method rather than a new robot suite.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P037,EgoEnv,2022,EgoEnv: Human-centric environment representations from egocentric video,Tushar Nagarajan and Santhosh Kumar Ramakrishnan and Ruta Desai and James Hillis and Kristen Grauman,Q,https://arxiv.org/abs/2207.11365,Environment understanding from first-person video.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P038,OpenEQA,2024,OpenEQA: Embodied Question Answering in the Era of Foundation Models,,Q,https://openaccess.thecvf.com/content/CVPR2024/html/Majumdar_OpenEQA_Embodied_Question_Answering_in_the_Era_of_Foundation_Models_CVPR_2024_paper.html,Episodic-memory and active embodied QA; evaluates information acquisition/answering.,official proceedings and author project pages checked,2026-09-20,baseline_163
P039,RoboVQA,2023,RoboVQA: Multimodal Long-Horizon Reasoning for Robotics,Pierre Sermanet and Tianli Ding and Jeffrey Zhao and Fei Xia and Debidatta Dwibedi and Keerthana Gopalakrishnan and Christine Chan and Gabriel Dulac-Arnold and Sharath Maddineni and Nikhil J Joshi and Pete Florence and Wei Han and Robert Baruch and Yao Lu and Suvir Mirchandani and Peng Xu and Pannag Sanketi and Karol Hausman and Izhak Shafran and Brian Ichter and Yuan Cao,Q,https://arxiv.org/abs/2311.00899,Robot/human video and robotics reasoning tasks; useful bridge between video and control.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P040,RoboBench,2025,Robobench: A Comprehensive Evaluation Benchmark for Multimodal Large Language Models as Embodied Brain,Yulin Luo and Chun-Kai Fan and Menghang Dong and Jiayu Shi and Xiangju Mi and Mengdi Zhao and Bo-Wen Zhang and Cheng Chi and Jiaming Liu and Gaole Dai and Rongyu Zhang and Ruichuan An and Kun Wu and Zhengping Che and Shaoxuan Xie and Guocai Yao and Zhongxia Zhao and Pengwei Wang and Guang Liu and Zhongyuan Wang and Tiejun Huang and Shanghang Zhang,Q,https://arxiv.org/abs/2510.17801,MLLM robotics-oriented perception and reasoning evaluation; not a universal physical robot test.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P041,EgoCross,2025,EgoCross: Benchmarking Multimodal Large Language Models for Cross-Domain Egocentric Video Question Answering,Yanjun Li and Yuqian Fu and Tianwen Qian and Qi'ao Xu and Silong Dai and Danda Pani Paudel and Luc Van Gool and Xiaoling Wang,Q,https://arxiv.org/abs/2508.10729,"Cross-domain egocentric QA covering surgery, industry, extreme sports, and animal perspectives; still an offline understanding benchmark.",primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P042,RoboSpatial,2024,RoboSpatial: Teaching Spatial Understanding to 2D and 3D Vision-Language Models for Robotics,Chan Hee Song and Valts Blukis and Jonathan Tremblay and Stephen Tyree and Yu Su and Stan Birchfield,Q,https://arxiv.org/abs/2411.16537,Spatial understanding grounded in 2D/3D robotics contexts.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P043,Embodied VideoAgent,2024,Embodied VideoAgent: Persistent Memory from Egocentric Videos and Embodied Sensors Enables Dynamic Scene Understanding,Yue Fan and Xiaojian Ma and Rongpeng Su and Jun Guo and Rujie Wu and Xi Chen and Qing Li,Q,https://arxiv.org/abs/2501.00358,Persistent memory combining first-person video and embodied sensors.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P044,HiERO,2025,HiERO: understanding the hierarchy of human behavior enhances reasoning on egocentric videos,Simone Alberto Peirone and Francesca Pistilli and Giuseppe Averta,Q,https://arxiv.org/abs/2505.12911,Hierarchical human behavior representations for egocentric reasoning.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P045,ManipBench,2025,ManipBench: Benchmarking Vision-Language Models for Low-Level Robot Manipulation,Enyu Zhao and Vedant Raval and Hejia Zhang and Jiageng Mao and Zeyu Shangguan and Stefanos Nikolaidis and Yue Wang and Daniel Seita,Q,https://arxiv.org/abs/2505.09698,VLM evaluation focused on low-level robot manipulation decisions.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P046,RULSTM,2019,What Would You Expect? Anticipating Egocentric Actions with Rolling-Unrolling LSTMs and Modality Attention,Antonino Furnari and Giovanni Maria Farinella,P,https://arxiv.org/abs/1905.09035,Anticipates near-future action labels from partial observations.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P047,AVT,2021,Anticipative Video Transformer,Rohit Girdhar and Kristen Grauman,P,https://arxiv.org/abs/2106.02036,Transformer-based future action anticipation.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P048,EGO-TOPO,2020,EGO-TOPO: Environment Affordances from Egocentric Video,Tushar Nagarajan and Yanghao Li and Christoph Feichtenhofer and Kristen Grauman,P,https://arxiv.org/abs/2001.04583,Topological environment structure used for anticipating activity.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P049,AntGPT,2023,AntGPT: Can Large Language Models Help Long-term Action Anticipation from Videos?,Qi Zhao and Shijie Wang and Ce Zhang and Changcheng Fu and Minh Quan Do and Nakul Agarwal and Kwonjoon Lee and Chen Sun,P,https://arxiv.org/abs/2307.16368,Long-term action sequence anticipation using language priors.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P050,PALM,2023,PALM: Predicting Actions through Language Models,Sanghwan Kim and Daoji Huang and Yongqin Xian and Otmar Hilliges and Luc Van Gool and Xi Wang,P,https://arxiv.org/abs/2311.17944,Language-based future action anticipation; score sequence uncertainty separately from control.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P051,USST / EgoPAT3D trajectories,2023,Uncertainty-aware State Space Transformer for Egocentric 3D Hand Trajectory Forecasting,Wentao Bao and Lele Chen and Libing Zeng and Zhong Li and Yi Xu and Junsong Yuan and Yu Kong,P,https://arxiv.org/abs/2307.08243,Uncertainty-aware 3D hand forecasting and trajectory annotation; evaluates on H2O and EgoPAT3D.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P052,StillFast,2023,StillFast: An End-to-End Approach for Short-Term Object Interaction Anticipation,Francesco Ragusa and Giovanni Maria Farinella and Antonino Furnari,P,https://arxiv.org/abs/2304.03959,Predicts next interacted object/action and timing from static and temporal cues.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P053,HandsOnVLM,2024,HandsOnVLM: Vision-Language Models for Hand-Object Interaction Prediction,Chen Bao and Jiarui Xu and Xiaolong Wang and Abhinav Gupta and Homanga Bharadhwaj,P,https://arxiv.org/abs/2412.13187,Language-conditioned future hand trajectories; hand motion is not robot joint control.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P054,EgoVid-5M / EgoDreamer,2024,EgoVid-5M: A Large-Scale Video-Action Dataset for Egocentric Video Generation,Xiaofeng Wang and Kang Zhao and Feng Liu and Jiayu Wang and Guosheng Zhao and Xiaoyi Bao and Zheng Zhu and Yingya Zhang and Xingang Wang,P,https://arxiv.org/abs/2411.08380,Video-action data and egocentric generation; one publication with multiple named contributions.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P055,FUTR,2022,Future Transformer for Long-term Action Anticipation,Dayoung Gong and Joonseok Lee and Manjin Kim and Seong Jong Ha and Minsu Cho,P,https://arxiv.org/abs/2205.14022,Long-term future action sequence anticipation.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P056,Forecasting hands and objects,2017,Forecasting Hands and Objects in Future Frames,Chenyou Fan and Jangwon Lee and Michael S. Ryoo,P,https://arxiv.org/abs/1705.07328,Early first-person future hand/object forecasting.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P057,Motor attention and action forecasting,2019,Forecasting Human-Object Interaction: Joint Prediction of Motor Attention and Actions in First Person Video,Miao Liu and Siyu Tang and Yin Li and James Rehg,P,https://arxiv.org/abs/1911.10967,Joint forecasting of motor attention and actions.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P058,EgoPAT3Dv2,2024,EgoPAT3Dv2: Predicting 3D Action Target from 2D Egocentric Vision for Human-Robot Interaction,Irving Fang and Yuzhong Chen and Yifan Wang and Jianghan Zhang and Qiushi Zhang and Jiali Xu and Xibo He and Weibo Gao and Hao Su and Yiming Li and Chen Feng,P,https://arxiv.org/abs/2403.05046,3D action target prediction from 2D egocentric observations for human-robot interaction.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P059,EMAG,2024,EMAG: Ego-motion Aware and Generalizable 2D Hand Forecasting from Egocentric Videos,Masashi Hatano and Ryo Hachiuma and Hideo Saito,P,https://arxiv.org/abs/2405.20030,Ego-motion-aware generalizable 2D hand forecasting.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P060,Continuous 4D interaction forecasting,2026,From Where to How: Continuous 4D Interaction Forecasting from Egocentric Video,Qiaohui Chu and Haoyu Zhang and Meng Liu and Haoxiang Shi and Dongmei Jiang and Liqiang Nie,P,https://arxiv.org/abs/2609.08636,Recent continuous 4D interaction forecasting; preliminary preprint evidence.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P061,Interact with me,2024,"Interact with me: Joint Egocentric Forecasting of Intent to Interact, Attitude and Social Actions",Tongfei Bian and Yiming Ma and Mathieu Chollet and Victor Sanchez and Tanaya Guha,P,https://arxiv.org/abs/2412.16698,"Joint forecasting of intent to interact, attitude, and social actions.",primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P062,RLBench,2019,RLBench: The Robot Learning Benchmark & Learning Environment,Stephen James and Zicong Ma and David Rovick Arrojo and Andrew J. Davison,M,https://arxiv.org/abs/1909.12271,Diverse manipulation tasks with configurable observations and action modes.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
